"Time","Source","Src Port","Destination","Dst Port","Protocol","Length","Data","Info"
"70.991727693","192.168.1.137","58034","204.79.197.200","443","TLSv1.2","212","","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"70.991727763","192.168.1.137","58036","23.5.165.211","443","TCP","66","","58036  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"70.991727793","192.168.1.137","58030","192.168.1.254","53","TCP","60","","58030  >  53 [FIN, ACK] Seq=35 Ack=141 Win=2102016 Len=0"
"70.992244722","192.168.1.254","53","192.168.1.137","58030","TCP","60","","53  >  58030 [FIN, ACK] Seq=141 Ack=36 Win=29216 Len=0"
"70.992507265","192.168.1.137","58030","192.168.1.254","53","TCP","60","","58030  >  53 [ACK] Seq=36 Ack=142 Win=2102016 Len=0"
"70.992507355","192.168.1.137","58037","23.5.165.224","443","TCP","66","","58037  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"70.992789166","192.168.1.137","58038","18.155.68.11","443","TCP","66","","58038  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"70.992952279","192.168.1.137","58039","23.5.165.66","443","TCP","66","","58039  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"70.993474235","204.79.197.200","443","192.168.1.137","58034","TCP","60","","443  >  58034 [ACK] Seq=5469 Ack=676 Win=4193792 Len=0"
"70.994407431","23.5.165.211","443","192.168.1.137","58035","TCP","66","","443  >  58035 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"70.994619482","192.168.1.137","58035","23.5.165.211","443","TCP","60","","58035  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"70.994935263","18.155.68.11","443","192.168.1.137","58038","TCP","66","","443  >  58038 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"70.994935394","204.79.197.200","443","192.168.1.137","58034","TLSv1.2","105","","Change Cipher Spec, Encrypted Handshake Message"
"70.994935424","204.79.197.200","443","192.168.1.137","58034","TLSv1.2","123","","Application Data"
"70.994935454","23.5.165.211","443","192.168.1.137","58036","TCP","66","","443  >  58036 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"70.995192595","192.168.1.137","58038","18.155.68.11","443","TCP","60","","58038  >  443 [ACK] Seq=1 Ack=1 Win=263424 Len=0"
"70.995192705","192.168.1.137","58034","204.79.197.200","443","TCP","60","","58034  >  443 [ACK] Seq=676 Ack=5589 Win=263168 Len=0"
"70.995192725","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"70.995299690","23.5.165.224","443","192.168.1.137","58037","TCP","66","","443  >  58037 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"70.995459428","192.168.1.137","58037","23.5.165.224","443","TCP","60","","58037  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"70.995939577","23.5.165.66","443","192.168.1.137","58039","TCP","66","","443  >  58039 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460 SACK_PERM WS=128"
"70.995939797","192.168.1.137","58039","23.5.165.66","443","TCP","60","","58039  >  443 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"70.997152932","192.168.1.137","58036","23.5.165.211","443","TLSv1.3","571","","Client Hello"
"70.997153292","192.168.1.137","58038","18.155.68.11","443","TLSv1.3","571","","Client Hello"
"70.998798576","192.168.1.137","58035","23.5.165.211","443","TLSv1.3","571","","Client Hello"
"70.999179595","18.155.68.11","443","192.168.1.137","58038","TCP","60","","443  >  58038 [ACK] Seq=1 Ack=518 Win=67072 Len=0"
"70.999443638","192.168.1.137","58037","23.5.165.224","443","TLSv1.3","571","","Client Hello"
"70.999944861","18.155.68.11","443","192.168.1.137","58038","TLSv1.3","4374","","Server Hello, Change Cipher Spec, Application Data"
"71.000042317","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"71.000707592","192.168.1.137","58039","23.5.165.66","443","TLSv1.3","571","","Client Hello"
"71.001461135","23.5.165.211","443","192.168.1.137","58035","TCP","60","","443  >  58035 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"71.002143549","23.5.165.224","443","192.168.1.137","58037","TCP","60","","443  >  58037 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"71.002649832","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","2974","","Server Hello, Change Cipher Spec, Application Data"
"71.002649962","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","998","","Application Data, Application Data, Application Data"
"71.002649992","192.168.1.137","58035","23.5.165.211","443","TCP","60","","58035  >  443 [ACK] Seq=518 Ack=3865 Win=262656 Len=0"
"71.003112477","18.155.68.11","443","192.168.1.137","58038","TLSv1.3","1369","","Application Data, Application Data, Application Data"
"71.003112598","23.5.165.224","443","192.168.1.137","58037","TLSv1.3","2974","","Server Hello, Change Cipher Spec, Application Data, Application Data"
"71.003112628","23.5.165.224","443","192.168.1.137","58037","TLSv1.3","204","","Application Data, Application Data"
"71.003112658","192.168.1.137","58035","23.5.165.211","443","TLSv1.3","134","","Change Cipher Spec, Application Data"
"71.003176189","192.168.1.137","58037","23.5.165.224","443","TCP","60","","58037  >  443 [ACK] Seq=518 Ack=3071 Win=262656 Len=0"
"71.003176239","192.168.1.137","58038","18.155.68.11","443","TCP","60","","58038  >  443 [ACK] Seq=518 Ack=5636 Win=263424 Len=0"
"71.003320992","192.168.1.137","58038","18.155.68.11","443","TLSv1.3","118","","Change Cipher Spec, Application Data"
"71.003321093","23.5.165.66","443","192.168.1.137","58039","TCP","60","","443  >  58039 [ACK] Seq=1 Ack=518 Win=64128 Len=0"
"71.003373453","192.168.1.137","58035","23.5.165.211","443","TLSv1.3","146","","Application Data"
"71.003691106","192.168.1.137","58035","23.5.165.211","443","TLSv1.3","482","","Application Data"
"71.005957473","23.5.165.211","443","192.168.1.137","58035","TCP","60","","443  >  58035 [ACK] Seq=3865 Ack=598 Win=64128 Len=0"
"71.005957944","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","325","","Application Data"
"71.005957974","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","325","","Application Data"
"71.005958004","192.168.1.137","58035","23.5.165.211","443","TCP","60","","58035  >  443 [ACK] Seq=1118 Ack=4407 Win=262144 Len=0"
"71.006025183","23.5.165.211","443","192.168.1.137","58035","TCP","60","","443  >  58035 [ACK] Seq=4407 Ack=690 Win=64128 Len=0"
"71.006025213","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","115","","Application Data"
"71.006188375","192.168.1.137","58035","23.5.165.211","443","TLSv1.3","85","","Application Data"
"71.006244373","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","85","","Application Data"
"71.006244413","23.5.165.211","443","192.168.1.137","58035","TCP","60","","443  >  58035 [ACK] Seq=4499 Ack=1118 Win=64128 Len=0"
"71.006842562","23.5.165.66","443","192.168.1.137","58039","TLSv1.3","2974","","Server Hello, Change Cipher Spec, Application Data"
"71.006842662","23.5.165.66","443","192.168.1.137","58039","TLSv1.3","847","","Application Data, Application Data, Application Data"
"71.006842692","192.168.1.137","58039","23.5.165.66","443","TCP","60","","58039  >  443 [ACK] Seq=518 Ack=3714 Win=262656 Len=0"
"71.007134276","18.155.68.11","443","192.168.1.137","58038","TCP","60","","443  >  58038 [ACK] Seq=5636 Ack=582 Win=67072 Len=0"
"71.007134406","18.155.68.11","443","192.168.1.137","58038","TLSv1.3","200","","Application Data"
"71.007376374","18.155.68.11","443","192.168.1.137","58038","TLSv1.3","116","","Application Data"
"71.007376484","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","2974","","Server Hello, Change Cipher Spec, Application Data"
"71.007376525","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","998","","Application Data, Application Data, Application Data"
"71.007376555","192.168.1.137","57294","34.149.211.227","443","TLSv1.2","457","","Application Data"
"71.007376595","192.168.1.137","58038","18.155.68.11","443","TCP","60","","58038  >  443 [ACK] Seq=582 Ack=5844 Win=263168 Len=0"
"71.007376635","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=518 Ack=3865 Win=262656 Len=0"
"71.007675958","192.168.1.137","57294","34.149.211.227","443","TCP","1514","","57294  >  443 [ACK] Seq=873 Ack=319 Win=1022 Len=1460 [TCP segment of a reassembled PDU]"
"71.007676118","192.168.1.137","57294","34.149.211.227","443","TLSv1.2","2216","","Application Data"
"71.007676148","192.168.1.137","58039","23.5.165.66","443","TLSv1.3","134","","Change Cipher Spec, Application Data"
"71.007873707","192.168.1.137","58036","23.5.165.211","443","TLSv1.3","134","","Change Cipher Spec, Application Data"
"71.007920617","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","694","","Application Data"
"71.007920647","23.5.165.211","443","192.168.1.137","58035","TLSv1.3","85","","Application Data"
"71.007964030","192.168.1.137","58035","23.5.165.211","443","TCP","60","","58035  >  443 [ACK] Seq=1149 Ack=5170 Win=261376 Len=0"
"71.008823633","23.5.165.211","443","192.168.1.137","58035","TCP","60","","443  >  58035 [ACK] Seq=5170 Ack=1149 Win=64128 Len=0"
"71.008823833","192.168.1.137","58037","23.5.165.224","443","TLSv1.3","134","","Change Cipher Spec, Application Data"
"71.009825886","34.149.211.227","443","192.168.1.137","57294","TCP","60","","443  >  57294 [ACK] Seq=319 Ack=873 Win=636 Len=0"
"71.010052420","34.149.211.227","443","192.168.1.137","57294","TCP","60","","443  >  57294 [ACK] Seq=319 Ack=2285 Win=647 Len=0"
"71.010474318","34.149.211.227","443","192.168.1.137","57294","TCP","60","","443  >  57294 [ACK] Seq=319 Ack=3697 Win=658 Len=0"
"71.010474358","23.5.165.66","443","192.168.1.137","58039","TCP","60","","443  >  58039 [ACK] Seq=3714 Ack=598 Win=64128 Len=0"
"71.010474378","34.149.211.227","443","192.168.1.137","57294","TCP","60","","443  >  57294 [ACK] Seq=319 Ack=4495 Win=669 Len=0"
"71.010981175","23.5.165.66","443","192.168.1.137","58039","TLSv1.3","341","","Application Data"
"71.010981235","23.5.165.66","443","192.168.1.137","58039","TLSv1.3","341","","Application Data"
"71.010981255","192.168.1.137","58039","23.5.165.66","443","TCP","60","","58039  >  443 [ACK] Seq=598 Ack=4288 Win=262144 Len=0"
"71.011243556","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=3865 Ack=598 Win=64128 Len=0"
"71.011243686","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","325","","Application Data"
"71.011243706","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","325","","Application Data"
"71.011243736","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=598 Ack=4407 Win=262144 Len=0"
"71.011616465","23.5.165.224","443","192.168.1.137","58037","TCP","60","","443  >  58037 [ACK] Seq=3071 Ack=598 Win=64128 Len=0"
"71.011834160","23.5.165.224","443","192.168.1.137","58037","TLSv1.3","325","","Application Data"
"71.011834261","23.5.165.224","443","192.168.1.137","58037","TLSv1.3","325","","Application Data"
"71.023133811","20.205.115.81","443","192.168.1.137","58033","TLSv1.2","6353","","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"71.023221589","192.168.1.137","58033","20.205.115.81","443","TCP","60","","58033  >  443 [ACK] Seq=518 Ack=6300 Win=263424 Len=0"
"71.024156930","192.168.1.137","58033","20.205.115.81","443","TLSv1.2","147","","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"71.027700488","23.5.165.224","443","192.168.1.137","58037","TCP","325","","[TCP Retransmission] 443  >  58037 [PSH, ACK] Seq=3342 Ack=598 Win=64128 Len=271"
"71.027700879","192.168.1.137","58037","23.5.165.224","443","TCP","66","","58037  >  443 [ACK] Seq=598 Ack=3613 Win=262144 Len=0 SLE=3342 SRE=3613"
"71.038655787","192.168.1.137","58036","23.5.165.211","443","TLSv1.3","146","","Application Data"
"71.039207604","192.168.1.137","58036","23.5.165.211","443","TCP","1514","","58036  >  443 [ACK] Seq=690 Ack=4407 Win=262144 Len=1460 [TCP segment of a reassembled PDU]"
"71.039208205","192.168.1.137","58036","23.5.165.211","443","TLSv1.3","2351","","Application Data"
"71.041823978","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=4407 Ack=690 Win=64128 Len=0"
"71.041824359","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","115","","Application Data"
"71.041824379","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","85","","Application Data"
"71.041824409","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=4447 Ack=4499 Win=262144 Len=0"
"71.041928097","192.168.1.137","58036","23.5.165.211","443","TLSv1.3","85","","Application Data"
"71.042153659","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=4499 Ack=2150 Win=64128 Len=0"
"71.042422444","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=4499 Ack=3610 Win=63360 Len=0"
"71.042875063","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=4499 Ack=4447 Win=64128 Len=0"
"71.044963380","23.5.165.211","443","192.168.1.137","58036","TCP","60","","443  >  58036 [ACK] Seq=4499 Ack=4478 Win=64128 Len=0"
"71.056590972","20.205.115.81","443","192.168.1.137","58033","TLSv1.2","105","","Change Cipher Spec, Encrypted Handshake Message"
"71.056591363","20.205.115.81","443","192.168.1.137","58033","TLSv1.2","123","","Application Data"
"71.056591383","192.168.1.137","58033","20.205.115.81","443","TCP","60","","58033  >  443 [ACK] Seq=611 Ack=6420 Win=263168 Len=0"
"71.059758970","34.149.211.227","443","192.168.1.137","57292","TLSv1.2","400","","Application Data"
"71.059759190","34.149.211.227","443","192.168.1.137","57292","TLSv1.2","125","","Application Data"
"71.059759220","192.168.1.137","57292","34.149.211.227","443","TCP","60","","57292  >  443 [ACK] Seq=4026 Ack=418 Win=1021 Len=0"
"71.066704613","34.149.211.227","443","192.168.1.137","57291","TLSv1.2","400","","Application Data"
"71.067508122","34.149.211.227","443","192.168.1.137","57291","TLSv1.2","125","","Application Data"
"71.067508172","192.168.1.137","57291","34.149.211.227","443","TCP","60","","57291  >  443 [ACK] Seq=7998 Ack=748 Win=1025 Len=0"
"71.086722031","34.149.211.227","443","192.168.1.137","57294","TLSv1.2","449","","Application Data"
"71.136394216","192.168.1.137","57294","34.149.211.227","443","TCP","60","","57294  >  443 [ACK] Seq=4495 Ack=714 Win=1020 Len=0"
"71.427768229","192.168.1.137","137","192.168.1.255","137","NBNS","92","","Name query NB BRW7440BBBE4A3A<00>"
"71.612906555","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","2610","","Application Data"
"71.612906936","23.5.165.211","443","192.168.1.137","58036","TCP","11734","","443  >  58036 [PSH, ACK] Seq=7055 Ack=4478 Win=64128 Len=11680 [TCP segment of a reassembled PDU]"
"71.613007428","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=4478 Ack=18735 Win=262656 Len=0"
"71.613865792","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","4780","","Application Data"
"71.613866213","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=4478 Ack=23461 Win=262656 Len=0"
"71.613955384","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","2974","","Application Data"
"71.613955434","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=4478 Ack=26381 Win=262656 Len=0"
"71.615918784","23.5.165.211","443","192.168.1.137","58036","TLSv1.3","5670","","Application Data"
"71.615918995","192.168.1.137","58036","23.5.165.211","443","TCP","60","","58036  >  443 [ACK] Seq=4478 Ack=31997 Win=262656 Len=0"
"72.003764255","IntelCor_1d:00:dd","","Broadcast","","ARP","60","","Who has 192.168.1.31? Tell 192.168.1.197"
"72.112460575","Arcadyan_6e:fd:ca","","Spanning-tree-(for-bridges)_00","","STP","60","","Conf. Root = 32768/0/a4:ce:da:6e:fd:ca  Cost = 0  Port = 0x8003"
"72.114545538","192.168.1.137","57295","34.149.211.227","443","TLSv1.2","468","","Application Data"
"72.116950244","34.149.211.227","443","192.168.1.137","57295","TCP","60","","443  >  57295 [ACK] Seq=301 Ack=1336 Win=636 Len=0"
"72.116950585","192.168.1.137","57295","34.149.211.227","443","TLSv1.2","561","","Application Data"
"72.119443446","34.149.211.227","443","192.168.1.137","57295","TCP","60","","443  >  57295 [ACK] Seq=301 Ack=1843 Win=647 Len=0"
"72.169213191","192.168.1.137","58001","52.12.59.69","443","TCP","60","00","[TCP Keep-Alive] 58001  >  443 [ACK] Seq=1887 Ack=5741 Win=262144 Len=1"
"72.196098743","34.149.211.227","443","192.168.1.137","57295","TLSv1.2","354","","Application Data"
